"Path","Extension","SizeMB","Width","Height","MaxSide","PixelFormat","Recommendation"
"img\42\pic03.png",".png","1.19","1920","1080","1920","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\machine\machine15.jpg",".jpg","1.16","2560","1289","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\spinny\pic05.png",".png","1.16","1280","720","1280","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\tabakfabrik\pic05.png",".png","1.15","1920","1280","1920","Format24bppRgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\bmeia\pic01.jpg",".jpg","1.14","1920","1080","1920","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\machine\machine12.jpg",".jpg","1.14","2560","1289","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\metec\metec01.jpg",".jpg","1.14","1400","904","1400","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\machine\machine18.jpg",".jpg","1.13","2560","1291","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\aef\JOH_20160912_13_23_56.jpg",".jpg","1.11","1564","2362","2362","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\kf\pic03.png",".png","1.09","1920","1080","1920","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\42\pic04.png",".png","1.08","1920","1080","1920","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\aef\pic07.jpg",".jpg","1.08","1920","1275","1920","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\42\pic02.png",".png","1.07","1920","1080","1920","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\metec\metec05.jpg",".jpg","1.05","1400","1049","1400","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\bmeia\pic02.jpg",".jpg","0.99","1920","1080","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\bmeia\bmeia02.jpg",".jpg","0.97","2096","1180","2096","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\spinny\pic04.png",".png","0.97","1280","720","1280","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\aef\JOH_20160912_13_44_05.jpg",".jpg","0.96","1564","2362","2362","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\bmeia\pic04.jpg",".jpg","0.94","1920","1080","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\42\pic05.png",".png","0.92","1920","1080","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\aef\JOH_20160909_15_28_06.jpg",".jpg","0.92","2362","1564","2362","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\saltmine\pic01.jpg",".jpg","0.92","1772","1064","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\42\pic01.png",".png","0.9","1920","1080","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\spymuseum\opening-of-the-spy-museum-berlin_21003850933_o.jpg",".jpg","0.9","1807","1355","1807","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\spy-museum_21638610621_o.jpg",".jpg","0.89","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\aef\JOH_20160910_14_39_01.jpg",".jpg","0.87","2362","1564","2362","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\metec\metec04.jpg",".jpg","0.87","1400","933","1400","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\pic04.png",".png","0.85","1400","934","1400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\bmeia\pic03.jpg",".jpg","0.84","1920","1080","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\spy-museum_21008530863_o.jpg",".jpg","0.84","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\aef\JOH_20160910_14_39_39.jpg",".jpg","0.83","2362","1564","2362","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\aef\JOH_20160912_13_34_38.jpg",".jpg","0.83","2362","1564","2362","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\eames\Eam_Eames_Space_01_New1.jpg",".jpg","0.82","1500","1000","1500","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\pic02.jpg",".jpg","0.82","1500","1000","1500","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\kf\pic04.png",".png","0.82","1920","1080","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\spymuseum\spy-museum_21008522963_o.jpg",".jpg","0.82","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\eames\Eam_Eames_Space_001_Picture-HEAD-Geneve_Sandra-Pointet-Baptiste-Coulon.jpg",".jpg","0.81","1500","1000","1500","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\pic01.jpg",".jpg","0.81","1500","1000","1500","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\spy-museum_21603502826_o.jpg",".jpg","0.81","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\aef\JOH_20160909_15_39_50.jpg",".jpg","0.8","1564","2362","2362","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\skater\pic01.png",".png","0.77","1400","934","1400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\skater\pic03.png",".png","0.77","1400","934","1400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\kf\pic07.png",".png","0.76","1920","1080","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\metec\metec03.jpg",".jpg","0.76","1400","933","1400","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\spy-museum_21006838354_o.jpg",".jpg","0.76","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\metec\metec02.jpg",".jpg","0.75","1400","933","1400","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\aef\aef-front.JPG",".jpg","0.74","4132","2324","4132","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\pic05.jpg",".jpg","0.74","1680","1120","1680","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\kf\pic06.png",".png","0.7","1920","1080","1920","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\spymuseum\spy-museum_21618253152_o.jpg",".jpg","0.7","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\aef\JOH_20160909_15_26_30.jpg",".jpg","0.69","2362","1564","2362","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\skater\pic02.png",".png","0.68","1400","934","1400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\spymuseum\spy-museum_21603499656_o.jpg",".jpg","0.68","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\spymuseum\spy-museum_21441633330_o.jpg",".jpg","0.65","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\spymuseum\parachute-with-carrier-pigeon_21587681802_o.jpg",".jpg","0.64","2000","2000","2000","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\metec\pic03.jpg",".jpg","0.62","1920","1276","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\spy-museum_21603507396_o.jpg",".jpg","0.61","2000","3000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\pic04.jpg",".jpg","0.6","1680","1120","1680","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\spy-museum_21442737529_o.jpg",".jpg","0.6","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\vaudoise\pic04.png",".png","0.6","1920","1080","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\metec\pic04.jpg",".jpg","0.59","1920","1276","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\pic05.png",".png","0.59","1400","934","1400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\metec\pic07.jpg",".jpg","0.58","1400","904","1400","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\pic06.jpg",".jpg","0.58","1680","1120","1680","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\Eam_Eames_Space_003_Picture-HEAD-Geneve_Sandra-Pointet-Baptiste-Coulon.jpg",".jpg","0.57","1500","1000","1500","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\Eam_Eames_Space_004_Picture-HEAD-Geneve_Sandra-Pointet-Baptiste-Coulon1.jpg",".jpg","0.57","1500","1000","1500","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\pic05.jpg",".jpg","0.57","1500","1000","1500","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\pic06.jpg",".jpg","0.57","1500","1000","1500","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\ao\pic14.jpg",".jpg","0.56","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\machine\machine02.jpg",".jpg","0.56","2560","1310","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\onceuponatale\HanselAndGretel06_905.png",".png","0.56","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\onceuponatale\pic04.png",".png","0.56","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\spymuseum\pic06.jpg",".jpg","0.56","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\lightscape\pic02.jpg",".jpg","0.55","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\machine\machine11.jpg",".jpg","0.55","2560","1310","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\machine\pic07.jpg",".jpg","0.55","1920","966","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\pic03.jpg",".jpg","0.55","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\pic09.jpg",".jpg","0.55","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\ao\pic01.jpg",".jpg","0.54","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\machine\pic01.jpg",".jpg","0.54","1920","967","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\machine\pic06.jpg",".jpg","0.54","1920","968","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\machine\pic09.jpg",".jpg","0.54","1920","968","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
